"","x"
"1",8871.66397626619
"2",NA
"3",5738.70654090138
"4",8580.73217139023
"5",2705.61944539276
"6",8674.73339765688
"7",5485.49139267233
"8",5813.76005734844
"9",1612.54733263495
"10",3851.30787722345
"11",6460.13071460631
"12",8122.93227702765
"13",1113.23254441611
"14",13.145285926442
"15",1650.79041778018
"16",2021.4279447393
"17",3138.90902780103
"18",7323.32644982739
"19",4073.28432798085
"20",1717.20778854236
"21",1636.43012131009
"22",5638.66290395726
"23",4556.5793261131
"24",4711.76829894972
"25",3172.80800406221
"26",5672.09687568263
"27",5046.48448296752
"28",8633.5743342464
"29",6735.3230073499
"30",3720.7684607889
"31",1888.3050314399
"32",5294.72372811768
"33",7219.96790501415
"34",8655.02912055546
"35",5994.8305743842
"36",8509.3799997468
"37",660.804338933239
"38",6797.56294232768
"39",1714.14876030127
"40",9174.07209884435
"41",3847.16769834376
"42",5439.23913234786
"43",8873.74760213751
"44",10876.8299077381
"45",276.432353475125
"46",3165.47481563819
"47",3736.54978754313
"48",152.062991807247
"49",6932.87451062827
"50",4091.14847257524
"51",957.023163867489
